area,perimeter,circularity,solidity,extent,eccentricity,hu1,hu2,hu3,hu4,hu5,hu6,hu7,mean_h,mean_s,mean_v,mean_b,mean_g,mean_r,glcm_contrast,glcm_homogeneity,glcm_energy,glcm_correlation,split
82316.5,2543.325024008751,0.1599164100516467,0.5254199964255624,0.424749742002064,0.8989708326222058,2.7123825327596984,5.613316232884545,8.94797231812128,9.847517673063434,-19.28736547053384,-12.662514572797868,-19.622195695623102,123.79541779944189,10.429608249398182,162.32962860941112,161.4709270991772,156.3648274788316,159.30851407835013,0.12116685704243915,0.9822362109429823,0.6361578340034798,0.9876918201732405,train
83800.0,2304.430581688881,0.19830178458083406,0.5352255707529244,0.4324045407636739,0.8866373551632912,2.7221276107754013,5.634155124137549,8.974292167211713,9.878866835661917,-19.330638634939124,-12.711175458981074,-19.78566398797202,114.3874783510256,9.494821918776582,161.67793395148274,160.83823650694535,156.57119125322527,158.63177303627603,0.10507708926642442,0.9828860596031888,0.632695170592514,0.9893499986198675,train
87203.5,2407.241763830185,0.18910558752767026,0.557775766511131,0.4499664602683179,0.8838956545428045,2.7377985878739373,5.671059978197141,9.168827866443626,9.937635387071278,-21.461784882884903,-12.863650152810996,-19.490891841910532,119.80991361253581,13.158611007325385,162.86288962105002,159.86579939540098,154.51466775358628,159.94809958900854,0.11244230580379062,0.9815559706057406,0.6205429640850236,0.9886095499706115,train
77760.0,2616.6214874982834,0.1427198264788348,0.5033938299297929,0.40123839009287926,0.8905496098089857,2.6820312896185374,5.548609616708225,8.834586052608335,9.72453921261758,-19.030272785652897,-12.512985471752147,-19.476523401199476,118.29618701482897,13.382716831081337,161.6458267377512,158.18073372421392,153.189762812314,158.77691947269113,0.13016017407753894,0.9822123559906346,0.6516447861488429,0.9859594172558083,train
79342.5,2491.1240141391754,0.16066639454409004,0.5129013177670684,0.40940402476780186,0.9056752064903083,2.693848891425376,5.573260147222002,8.914929457156545,9.787324248750394,-19.315939108382526,-12.575974550743425,-19.264976388951435,118.57280045717694,13.383245956220339,161.86790319775386,158.4949934156583,153.36879767436082,158.992881457003,0.12305855476361532,0.9808729004163087,0.6466411084002003,0.9868072746208091,train
76473.5,2279.3595138788223,0.18496739114983235,0.4991498457973663,0.3946001031991744,0.8803701188032778,2.6569875642176175,5.516594262784515,8.64832608633624,9.573434791670918,-18.696770962166383,-12.438870984565256,19.311205866626043,116.30958614374701,14.006306503823883,163.30111298830266,159.62565934561962,154.27935619494707,160.30456931350676,0.10880363040568129,0.981440250699646,0.6537018262755109,0.9884567369933369,train
80725.5,2327.50164937973,0.18725810012900354,0.5190816379022094,0.41654024767801856,0.8877250456366681,2.6849538647957023,5.575060909509459,8.684510673976705,9.561011213299981,-18.875073374429746,-12.712306507444334,18.799963774800247,117.12315891117548,13.868541674306039,163.9850023834843,160.29968342439466,154.95679170791928,161.15512204661852,0.11081937387906574,0.9806112911055617,0.6383074331192782,0.9886596035313455,train
82261.5,2479.4671590328217,0.16814724951847215,0.5286389049546945,0.4244659442724458,0.8800336275323936,2.69709368073333,5.598738301966975,8.703994569221598,9.54100178637901,-19.14945567330494,-13.08719274718083,18.6879967684184,116.61672741223863,13.714044216382122,164.27250383656244,160.7121858814502,155.3440437368118,161.3576515442164,0.12126505992960404,0.9809943618820127,0.6335586328569388,0.9877612535533986,train
79269.0,2336.0874359607697,0.18253033721804768,0.5157904668330248,0.4090247678018576,0.8973151612919643,2.671240814392831,5.547342007609699,8.677283620983262,9.586786180747875,-18.76944394482518,-12.53382261216155,19.059844809705385,114.0380657284006,9.857642388720897,162.7035253418947,161.61707793581465,157.310959296176,159.6359303642314,0.11316590602500556,0.9816446081247583,0.6445051168021427,0.9885259547459158,train
79588.5,2344.614347100258,0.18193545754846507,0.517362758800013,0.4106733746130031,0.8997950400821078,2.6729176678568725,5.551575847919349,8.680439896743176,9.589834089482427,-18.78060075426034,-12.546754431609632,19.047916342419672,113.37767724343084,9.744484382746654,162.5888696083292,161.50355726326228,157.35996529499258,159.49747149231533,0.10730474423316466,0.9820107816432961,0.6436928138563762,0.9891383190199575,train
80347.0,2537.425529241562,0.15681691997420852,0.5163357110725532,0.4145872033023736,0.9090497755846311,2.681840828561784,5.5696910762208995,8.716856887721118,9.633759750138589,-18.850281755292194,-12.579000551634836,19.190205512835515,113.79786816475726,9.88609768662758,162.69592522630816,161.62148271716998,157.36533130535045,159.52023894217797,0.12128056564863007,0.9818215323546706,0.6408895435864131,0.9877750851759338,train
79531.5,2370.756482362747,0.1778177636965854,0.5136847612311926,0.4103792569659443,0.8960666462769884,2.673016621106744,5.551717503180636,8.67568449601318,9.581075962211052,-18.776439139583562,-12.554517150580232,18.997482454994227,112.79502443138131,9.781977825731081,162.56389364288017,161.4418979586775,157.35148944613934,159.46739588759084,0.11291781452058901,0.9818879286387052,0.6437874287454733,0.9885631262678485,train
83880.5,2504.295586705208,0.16807367580399118,0.5454826269891333,0.43281991744066045,0.8909854710280007,2.711428273133746,5.630431292346183,8.880176437415345,9.833455220614537,-19.19820641280692,-12.681284128674445,-19.91282040219647,107.76384952786368,11.784357765260646,163.26249132750854,160.24288855701502,156.0919342889733,159.92992626912357,0.12332732056006657,0.9811559791841686,0.6281048503538113,0.987647643019801,train
82887.0,2364.513841509819,0.18629987514692944,0.5390218048682148,0.4276934984520124,0.882865791586464,2.7040011886579673,5.614841686620368,8.81358330791676,9.75177751845511,-19.049175762849334,-12.674545352488117,19.626230533160715,106.04445926155238,11.97160274804434,163.18969602438472,160.0597711550597,155.97125745651113,159.76753545191517,0.11398254056037668,0.9809381039527257,0.6315879322978405,0.9884917776476544,train
83552.5,2353.442773938179,0.1895666904755906,0.543908472479901,0.4311274509803922,0.8798567638546368,2.7112346144578456,5.630300113620713,8.815606108729169,9.742769931615356,-19.086943433821975,-12.762239130895656,19.315609942461027,106.62808335696059,11.95467110859087,163.3575512711464,160.24160051034875,156.09056327379264,159.97832199225027,0.11565198964217968,0.9811768522674729,0.6298873261249154,0.9883860491155333,train
81211.0,2608.538227200508,0.1499789508342587,0.523003902677778,0.4190454076367389,0.9127058564267946,2.68646548687187,5.580250146197441,8.71824105007817,9.622959717241365,-18.87698250582665,-12.636930341521072,19.041673382306286,102.38900280268378,8.166862814088642,161.90541245556352,161.1119981558098,158.17730918091263,158.3545455648439,0.12469182383435759,0.9820242994496265,0.6381130383273707,0.9875094238724649,train
80542.5,2302.045806288719,0.19098842521368248,0.5186987210036194,0.41559597523219816,0.8899387520584171,2.6792085331479663,5.564816928248077,8.684129801094082,9.575412599976557,-18.823900984119618,-12.627545197496177,18.89296511977292,102.23547861457223,8.313362982565762,161.79889979294543,160.96952990039327,158.0550961149704,158.25171218191397,0.10032717067144932,0.9831140731893794,0.6413565486325202,0.9898898906228194,train
2097.5,186.2670258283615,0.7596960586358408,0.9778554778554779,0.6854575163398693,0.8518333336555766,3.1274075383239763,6.790149390890271,11.937472979518176,13.047531934982668,26.293387946261845,17.559116048083062,-25.546885423821227,171.24323083983478,133.4593850390087,236.44424047728316,140.2859109683341,106.78751720972923,236.44424047728316,0.01199108938013304,0.999348666252074,0.9885481412228475,0.9693650693754303,train
2149.5,185.29646337032318,0.7867070695289008,0.9848797250859107,0.8080827067669173,0.8270391457181423,3.129165173868332,6.798704643939719,11.94799859248082,13.104726157780348,-26.442947796784484,-17.01168753338771,-25.63629379992977,172.48410210479176,132.97760859829825,235.0412001791312,139.11957008508733,106.07702642185401,235.0412001791312,0.010306134579303999,0.9994291884098515,0.9883019568135375,0.9743790732064359,train
2140.5,187.43859899044037,0.7656090126503764,0.9776204612925325,0.7050395256916996,0.8607702120264451,3.12074136854949,6.747598146959259,11.614892941657333,12.774730138092474,-25.682193835118092,-16.661709558799657,-24.97784932012061,170.8834907782276,133.68241115609536,236.13090418353576,140.05263157894737,106.51731893837157,236.13090418353576,0.011339849181039606,0.999369784901064,0.9883289061096525,0.9713815798175117,train
2265.5,192.06601464748383,0.7717433230271298,0.9758776653026061,0.6410582908885116,0.8274022428959833,3.1406185476396664,6.882755037602415,12.045085135815384,13.197601294275142,25.914207915273373,16.754006537317537,-26.04363901309431,172.4103110353643,131.13378781423094,232.1930123561994,139.14657008947592,105.33617383894334,232.1930123561994,0.016653142233960624,0.999048818855946,0.9875882212319531,0.9612815234130266,train
2505.5,195.78174424171448,0.8214098082780754,0.9758519961051607,0.7781055900621118,0.7708314699924225,3.159467965424677,7.056650962305736,13.136280221669104,14.535885635514665,28.381070433713568,18.07122997210906,28.86974082401435,172.1315079059005,124.03393752410335,227.526417277285,141.27034323177787,108.3891245661396,227.526417277285,0.0188239428976054,0.998937261872908,0.9862850501175923,0.9614323217737124,train
2155.0,185.53910398483276,0.7866584800022125,0.9771026978009522,0.7545518207282913,0.8207603532265242,3.13710245988759,6.858472991429957,14.14828615938723,15.034606807263312,29.578476368609998,18.72045024168194,-29.56777727336471,172.07640750670242,138.51161751563896,236.33869526362824,137.1970509383378,102.19436997319035,236.33869526362824,0.018131354114442545,0.9989987000688076,0.9881258924330255,0.9547576496504022,train
2100.0,185.33809316158295,0.7682450625452781,0.9787928221859706,0.6696428571428571,0.8443899601906134,3.133803625281845,6.833978148666858,12.827473680030362,13.982403716218853,27.407534065100368,17.44274399716129,27.898610643654617,172.1940366972477,141.4908256880734,238.15,137.94816513761467,100.90321100917431,238.15,0.017325056725088772,0.9990440244782683,0.9884403298572941,0.9552829600245833,train
2097.5,182.06601655483246,0.7951591354757972,0.983356774496015,0.6356060606060606,0.8315680787005862,3.1335217160166104,6.827260064415175,13.126656098855184,14.314919837985004,28.071202708637692,17.78287382739243,28.408336566785895,172.01701931922724,141.08923643054277,238.4052437902484,138.69549218031278,101.50367985280589,238.4052437902484,0.01587785628265892,0.999124944218585,0.9884972925396839,0.9588861170340658,train
2543.0,197.68123924732208,0.8177589656316957,0.9799614643545279,0.7371014492753624,0.7725936962896284,3.1637810480260926,7.0999831899214305,12.594340781119852,14.067195710032932,-27.50627699941048,-17.73238852276607,-27.59704976830187,172.12889733840305,121.69885931558936,224.8832699619772,138.00342205323193,108.18593155893537,224.8832699619772,0.018606862831240925,0.9989265271443515,0.9861004687699608,0.9622555640761861,train
2337.5,192.61017191410065,0.7917772987466455,0.9743643184660276,0.7472826086956522,0.797020192064571,3.1544227468480917,7.005798853274665,12.696590318039169,13.98830463588207,-27.335187979649383,-17.498172077210153,-28.130652946920666,172.20346677672308,129.69129178704085,230.31820057779612,137.27527858027238,105.27280231118448,230.31820057779612,0.018245062720633462,0.9989881524379166,0.9871695379061305,0.9596544012633387,train
2460.0,196.02438461780548,0.8044976370506778,0.9754163362410785,0.7382953181272509,0.7767125575989337,3.162193121026054,7.092336459605154,11.77930742206182,13.204888224499227,-25.707627240408733,-16.756258520521865,-26.35662759475014,172.58068315665489,125.67177071063996,225.0702787593247,134.83627797408715,104.5634079308991,225.0702787593247,0.01858618853920621,0.9988175895286302,0.9865330777244882,0.9599946891893055,train
71024.0,2470.940248131752,0.14618085735992536,0.46543205022346296,0.36648090815273476,0.8959422681537642,2.6566000061778845,5.474814779287006,9.067489167803382,9.510470141463012,18.890650853571813,-12.909275307254367,-19.031833880390316,111.86599880838564,8.595169805046348,162.8024829917834,162.37003782682794,158.70478447021657,158.80614097075002,0.11841717620182243,0.9808677318433,0.6710407934762066,0.9877336380973143,train
65067.5,2134.4722114801407,0.1794704594024856,0.5454427334378379,0.46946248196248197,0.8569701333506555,2.647310568802172,5.374583573028295,9.253950296822127,9.37737111168271,18.70013356483141,12.169480116408728,-19.439267514444275,113.01242884824997,13.921733074966696,160.5099309676638,160.27770376650116,154.74539784425335,153.39003269952767,0.1096771192441479,0.9802182012491247,0.6908624911849653,0.987514221742619,train
64229.0,1953.2346233129501,0.21155933652004494,0.5520065660841129,0.46141522988505745,0.8363349344113884,2.645659364309938,5.367209471740288,9.383984075377837,9.627912494052957,19.15733127854377,12.53163835743526,-19.628606326952657,112.54663657855147,13.839673329035032,160.47086365171472,160.21087777470757,154.83365570599614,153.48685947622118,0.09446600887960843,0.9814835871964112,0.6945908181677245,0.9892563295505509,train
65038.0,2086.5727165937424,0.18771976115178848,0.5318124207858048,0.45544817927170866,0.9107229147605613,2.669556380668465,5.421125138063363,9.719004390077517,10.01972728761251,19.93776893433518,13.12015853038054,-20.237697161250633,107.88932488940064,14.169141264165809,160.9303527058966,160.75365129386097,155.40794497303193,153.02818011029635,0.1029424686138404,0.9820931607454038,0.691782746743063,0.9883870860625552,train
64493.5,2127.9869306087494,0.17897315648792098,0.526348649310373,0.4478715277777778,0.8891845820984468,2.6640610437571945,5.408689340924202,9.693851680806524,10.390442245828533,-21.949061070730327,-13.333861435617852,-20.432790586993097,107.43591936469151,14.123320097739768,161.06394318875994,160.87953573610264,155.42391569945022,153.0947006719609,0.1079559844322581,0.9816861157418433,0.6936280937236636,0.9877846000784045,train
71770.0,2503.0823838710785,0.1439469683634461,0.4656912046199267,0.3703302373581011,0.8729478648369864,2.666278083030501,5.492552405339873,8.959332083670477,9.764995280607764,-19.319274390701526,-12.51344614692938,-19.242776293435004,104.40287394934938,13.416242749996572,161.9868231616185,161.51743428720297,156.76215875279374,154.72177811904402,0.12886803082536943,0.9801594783080954,0.6653218592972,0.9865556951040751,train
67255.0,2402.655977010727,0.14640343246236548,0.4379036878841546,0.34703302373581013,0.8735802881161254,2.6212553158581033,5.402529990135977,8.890457247970565,9.427322815095325,18.847181072742096,-12.458590816671759,-18.663866059912653,103.40525361258995,8.210890422980167,162.4549084420523,162.0205200959457,159.17287778622827,158.0254636400866,0.11128971402285542,0.9822845172214865,0.6854185543370745,0.9882882267425039,train
68089.5,2332.9574930667877,0.15720862064312383,0.44397895176119245,0.3513390092879257,0.8793562149142745,2.6273160858796643,5.414017627088362,8.922673372481565,9.45045064892737,18.885065326269025,-12.49888756828526,-18.72046346242517,103.31619347750664,8.284231525384527,162.24807736787326,161.79394587718284,158.981959060946,157.75361397016306,0.11004925650077273,0.9809963497947083,0.6818998777161805,0.9883636720053371,train
68292.0,2329.8864254951477,0.15809210914594496,0.4485252103323941,0.35238390092879257,0.8804413309237115,2.629685036365903,5.417664102176187,8.920844875009253,9.48176055990248,18.99680329963414,-12.473895056576364,-18.741456081980264,101.51209317074577,8.516431721871486,162.2331430712906,161.6930150768255,158.85992677794113,157.75956355040503,0.11158949125735876,0.9805244193207621,0.6809612490090033,0.9881981429478797,train
64819.0,2344.229571223259,0.14822174114789596,0.42329946188809364,0.33446336429308565,0.8795243179062876,2.60596320088487,5.3677267698912186,8.853059232907203,9.376754548748279,18.714744205507728,-12.417178347736636,-18.587880387819073,101.70984479541214,8.279019313337278,161.71045165597076,161.20825937220275,158.44199171635339,157.36701409433647,0.10920677910035817,0.981179038971438,0.6941812770554185,0.9880689588422463,train
71995.5,2390.0701909065247,0.15837765394477185,0.4707249617512063,0.3714938080495356,0.8752064962986374,2.6738408805222234,5.517939120854528,9.178179267056647,9.558388778500461,18.966119877484132,-13.25278898614448,-19.316467587385265,103.5421989987142,12.945982545892265,161.41528739091183,160.96957842037588,156.5046097447542,154.3983804338905,0.11785380174387652,0.9807863466975402,0.6647708255700798,0.9876474227066006,train
72046.0,2609.508788585663,0.1329542455804086,0.4665980169292843,0.3717543859649123,0.9211612350581874,2.6740632935636324,5.533316228885026,9.152321041690145,9.751434764186115,19.418819266335948,-12.781995181739847,-19.303873262200938,102.93252245611161,12.830685013787644,161.6531110929096,161.18718431757992,156.71643869276764,154.59574903759523,0.1351323413118872,0.9802973599326654,0.6642258477789186,0.9858459333908264,train
67549.0,2307.8864253759384,0.15936755972830371,0.4371438648490359,0.3485500515995872,0.8791388352198047,2.627336043343598,5.416159304779729,8.88215581991374,9.476149067956753,19.048101583163742,-12.413787678148159,-18.694154850468156,102.71950046630916,7.851378526463045,162.15890941944508,161.6852267428305,159.0682268594078,157.98847342037772,0.10573866661153522,0.9835094690245432,0.6850193094592036,0.9888701042106944,train
71515.5,2624.0357003211975,0.13051804640138623,0.4625945606789287,0.3690170278637771,0.9210410372172717,2.6696287366889164,5.520694941542063,9.218450626821346,9.592190765101094,19.03864051274907,-13.158039259884163,-19.379054306095565,101.73181530676787,12.814110496933697,161.3623600913016,160.8840167202926,156.59413414734757,154.3896543189506,0.1272967846307313,0.9809961510034385,0.6662427673402675,0.9866396075486588,train
2272.5,195.63960921764374,0.7461053988736901,0.986328125,0.8198051948051948,0.8791047632300443,3.0896902152852737,6.568702199417119,13.073656311649795,14.065463419050102,28.093187118218353,18.4369974855008,-27.660361859365256,107.72015241320915,149.5766299745978,187.20025402201523,187.20025402201523,122.10457239627435,76.96782387806944,0.008321402543971635,0.9993070510538311,0.9876605358342107,0.966120918770614,train
2308.5,199.78174424171448,0.7268221296669248,0.9829678518203109,0.7312321824516946,0.8923915276215327,3.0883016893485453,6.5612238503133185,13.635795485964083,14.467485427012795,28.578506072781344,17.871285489451598,-28.75800299473914,107.70642201834862,148.77856547122602,186.74770642201835,186.74770642201835,122.27814845704754,77.33611342785655,0.010130403097008946,0.999130070694619,0.987447699854265,0.9602592692090645,train
2325.5,200.89444291591644,0.7240863502907959,0.9824672581326573,0.6126185458377239,0.889565275068935,3.0898296881326135,6.568545202810124,13.37889025939542,14.220710145732207,28.133000290975517,17.76350984385076,-28.201721740178243,107.3152218996267,149.07382828701785,187.11240149315637,187.11240149315637,123.511820821236,77.2090418913314,0.013024803981868647,0.9988805853125947,0.9873226241256917,0.9492691397361039,train
2320.0,197.9655101299286,0.7439072343864355,0.9855564995751912,0.5985552115583075,0.8777900944187463,3.0980595758290286,6.610755884414405,12.530716993496581,13.28626264197737,26.19946777345268,16.60448546100447,-27.02515824172832,108.84935497295048,149.0474406991261,185.63628797336662,185.63628797336662,118.0220557636288,76.72326258843113,0.017418091039244975,0.9986983942833991,0.9872839853585242,0.9294280042413791,train
2303.0,196.71067690849304,0.747907582548031,0.984398375721308,0.7769905533063428,0.8811762567106175,3.097258543579593,6.607190079159151,13.134026481490206,14.018246139052263,27.638885955914578,17.400645736644794,27.94841995508506,108.69774247491638,150.2203177257525,183.8294314381271,183.8294314381271,116.49581939799332,75.29389632107024,0.020570920574538576,0.9984664726947212,0.987294638859463,0.915461026854254,train
2305.5,198.75230705738068,0.733416427870991,0.981272611193871,0.6579623287671232,0.8829247771799126,3.0996728538367497,6.619022817703328,13.40956899647704,14.213055419259767,28.024605245414545,17.52763478137979,-28.822097017093814,109.08403010033445,146.81814381270902,184.45192307692307,184.45192307692307,117.59364548494983,77.96655518394648,0.01913405727812608,0.998388092805213,0.98730925701314,0.9216660192605488,train
2299.5,196.20815086364746,0.750601085667654,0.9852185089974294,0.5917395779722079,0.8763840019051503,3.099208856732192,6.6164200697897435,13.344531092124575,14.494355005628519,-28.58276117452674,-17.911876709120953,-28.519289814069342,109.43007139857203,144.8517429651407,184.64972700545988,184.64972700545988,117.78916421671566,79.48845023099538,0.017314719579071408,0.9985095378998712,0.9873976784862203,0.9293135798899925,train
2266.0,195.13708221912384,0.7478080840220387,0.9832935560859188,0.6058823529411764,0.877572776959078,3.1012840800994725,6.626961947488559,13.348925158642572,14.142828274153443,27.89027856144165,17.469376146306576,-28.69000266576861,109.66013628620102,146.3313458262351,185.95996592844975,185.95996592844975,117.5804940374787,79.01703577512777,0.01403784429156954,0.9988834104873433,0.987635305193669,0.9420242165104352,train
2214.0,194.02438497543335,0.7390517498759264,0.9831261101243339,0.7053201656578528,0.883172699995303,3.099730023255194,6.6195244746994035,13.065705668422247,13.885123157975485,27.360364579213375,17.19764977925823,28.555496902346082,109.08217391304348,149.65869565217392,183.40260869565216,183.40260869565216,115.64869565217391,75.61434782608696,0.009985683052765962,0.9992677652215236,0.9879474122127025,0.9572156038051153,train
2211.0,191.39696860313416,0.7584526910025422,0.9863930403747491,0.829954954954955,0.871481832593846,3.0994506769548416,6.6191757640024225,13.13959720512985,14.314058444130065,-28.172012188011635,-17.721254380152402,-28.19819255408311,108.88864723792953,152.65854719443237,182.6750761200522,182.6750761200522,114.24227925184863,73.20574162679426,0.007980276725398885,0.9993527543360642,0.987988309927803,0.9654725032430919,train
2283.5,195.72286927700043,0.7490791901209651,0.9842672413793103,0.6128556092324208,0.8796236006697911,3.102534617327566,6.634130690559678,13.30983190182317,14.250733320824098,28.138973101142795,17.763955761931687,-28.2182439545162,108.72823330515638,150.7024513947591,179.51225697379544,179.51225697379544,113.80853761622993,73.3229078613694,0.014420318694211717,0.998797191205652,0.9875433134539982,0.940011158467471,train
